text,label
"They have no memories of what happened in the Great Void, so you can assume that they start with the same motivation as their DW selves developed. They don't ever ""think"" about the source of their power... right until they feel weaker. And only then they begin to question things. They become ""out-of-sync"" with their original source (just like Kane, when he lost his courage), and in adv quests develop an entirely new source.",lore
"based on how she acted throughout her entire story, i would say that the convo was more telling her that lily would become docile compared to what she is now, since she kept saying things along the lines of [you wouldn't want that from me] instead of [i don't want to go back], kind of like a disclosure",lore
"the rosca fighting DWs in the lore videos uses the lore that the DWs was a group controlled by Kent, the current lore isn't she still fights them and split the timeline",lore
"Actually, there's this whole argument between Erwin and Tenebris in the Void that, if he doesn't change his ways, he will never become a SoulWorker. Implying he's just a supernatural currently. So how is he using his usual guns then? I thought supernaturals were, like, just firing energy beams and stuff like that, only SW's and DW's fight using actual manifested weapons",lore
"Well, that still doesn't explain how the records can contain a wealth of information Lord wouldn't know (i.e. everything from Iris' CR on in chronological order, and then some), since he disappeared from the camp early on",lore
"i thought it was a form of Lord's desire since kent artificially turned him into a desireworker and his soulweapon was a book i assumed he archived since in the corrupt records tenebris would get on him for just writing things down",lore
"tenebris was mostly told from the character's records itself since its from his PoV most of time, the only thing I think Its missing is his fight with kent, kane was with aruel, so maybe chii and kane records, or make records from anyone that's missing instead of just 2 books",lore
"Kent saw GCC as a DesireWorker farm of sorts. Maybe he had similar plans for Barber's camp (forgot the location's name), but the people there were just too weak and he had to, like, divert SJ in their usual numbers from there to give them time to get strong",lore
"So under normal circumstances, anyone that tries leaving the Void would just, like, run into a dense wall of energy preventing them from leaving?",lore
"Oh, true. Forgot that the Void is in a perpetual state of expanding. But then that begs another question: if constant influx of food supplies is on account of new territory getting taken over by the Void, then establishments such as GCC would have to travel further and further from base to find it, to get close to the edge of the circle so to speak, where the new stuff is. In all this time, no one has tried going the extra mile and just leaving the Void?",lore
"Haru and Lily's markings (arms/face) share similarities to Desire Energy poisoning, similar to the members of SFL in GCC's ""Meat Factory"".",lore
"That being said, I will also say, from the perspective of any protag before (and excluding) Ephnel, think back to the Resurrection Project dungeon. None of the protags had any Desire energy at all, which is why they had to use Poison and Flemma's horn to start up the time machine",lore
"From what I can tell, none of the playable characters (except Dhana, which is also referenced by Kent) were true soulworkers from the beginning.",lore
"Near the end of dhana's world, reive confirms martim's suspicion that she isn't ""real"". At the end of the world, Its shown that the dying Reive's body turns into information and disappear",lore
"Technically, his weapon is extremely simple dual pistols and later a pistol + folding rifle combo. But he's able to use energy projections (shield and holo-weapons) and reconstruct his weapons into other solid forms. Also, he can basically summon lasers and rockets from the sky and, more importantly, working robots (either using a rocket launcher or as part of his Exceed). Stella can summon wolf ghosts, but she basically lived with them for all of her life. Erwin… he just creates tech on the go based on his current needs.",lore
"yes, the clash between desire and soul energy created the vacuum, yohaka was born on one of them, but he dont know anything about himself other than that and there was no other like him",lore
"Teneghost stayed in the vacuum so he still has his memories; Miriam left and lost her memories, so she doesn't. Teneghost ""knows"" Kent, but not Roy... and even then he didn't know that Kent wasn't a ""normal"" person, so even if he feels something familiar on Roy, he won't piece the two things together.",lore
"compared to your average Vessi, she's far stronger; she has a lot more amount of energy compared to them, and the quality of her energy is on a whole different level (according to Yorhaka). So yes, we can assume that she's pretty strong. That said, she doesn't come even close to Flemma, and other than that, we (probably) won't ever know for real how strong she is in a fight because, well, she's the queen: she isn't allowed to fight unless it's a last resort. Deltis (or even the whole Nihil Kingdom) will fight and die in her place because if she dies, the Nihil Kingdom is doomed. So they don't want her to be anywhere near danger.",lore
"Vessi do not dissapear on death, vista specifically mentions she got flemma's body and managed to revive him only because his body was strong enough to bear the experiment, poison was told the binded room would melt whatever It would use to power It up, be It flemma's horn or her",lore
"And while on the topic of DW quest, I really don't like the idea of Yorhaka being the one who tells you about the power-up. He DEVOURS beings filled with Desire Energy, yes, but he uses different power, Void Energy.",lore
"Ephnel. She got sold to NED Company at early age by her parents (around 4, so she was self-aware enough to understand what they did) for a shitty amount of money, and became human experiment in something that's best explained as ""putting papers through a paper crusher hoping that one of them will come out with the desired shape"" along with others children, so she developed serious trust issues, hate all talk about baseless friendship & love, and doesn't want to become close to anyone because, well, that's what happens when you see your friends blowing up like balloons left and right day in day out for countless years.",lore
"There is another possibility, another one that's more probable. Right after Flemma, there were some scrapped contents that were put online officially then removed. Yes, the exact topic we discussed a week ago. I defended keeping the Tenebris' assumptions because they were still in the game; however, this was something that was literary removed/replaced. I say it's more probable because they had that story structure before, so it's easier to reuse it to fit the new raid's background alongside its story outlines that may existed back then, from the devs' point of view.",lore
"And the clear statement of DChii to Erwin about her being ""a third, irrelevant party that is now inside Chii"" does open room for some delicious possibilities that are good food for thought",lore
"she also said that only management gods has the authority to create timelines, any other unrelated who creates one will be destroyed by her",lore
"Because the premise is that she's the one who created the timelines, and they can't exist without her approval..Then there's Project Resurrection timeline, which was created by humans, but would've destroyed itself and disappeared had she not salvaged it. WHICH PROVES IT CAN EXIST WITHOUT HER APPROVAL - EVEN IF IT DISAPPEARS LATER. Then there's Chii's, which she wasn't even aware of its existence in the beginning. And Kent thought it was Rosca's doing.",lore
"They're management gods, after all... ""lesser gods put in order to manage the worlds created by Akasha"" They're not creators, they're simply gears for keeping their worlds turning",lore
"I think Nabi is way weaker than the other SW's, but most seem to think she is equal now after Arcadia story",lore
"If it's the doing of a Third management god, then saying that DNabi comes from one of these wouldn't be too far of a stretch",lore
It's worth noting that Nabi existed in all timelines,lore
"IMO, the biggest "flaw" (or maybe "improbability" would be a better word?) to Milla's interpretation is the cause-effect that justifies DNabi to be a different entity.,lore
"There wasn't. Remember old story videos, the one where Kane explains how he got his trauma? From his POV, one moment SFL forces were outnumbered, and next - bright light. And that sound of burning human skin, like eggs on a frying pan. No in-betweens. Same applies to Cath's death in Chii/Eph timelines. Catherine is alive - bright light, Roska does her stuff, light fades - Catherine is dead, Aaron blames Henry, thinking that his antidote killed his daughter. Sangyop - similar story. Bright light - and guy's dead.",lore
"And Neb… he sees SFL's actions as unjust. He tries to fight this injustice, but is obliterated by Rosca. He was helping people in his own way, and what does he get in return? Pain and suffering. So, if doing the right thing is not justice, then what defines justice?",lore
"So in this case, what you're describing as interesting is the part where humans are fighting the Void disaster, and the uninteresting part is the part where the West is fighting the East and trying to involve other parts of Cloudream as well",lore
"Well I mean, blackmailing the SW's with public outrage is a ship that's already sailed, Ysabella has already publicly branded them as a threat to the East right after CD",lore
"Next, Victor resurrecting Catherine. It is HEAVILY IMPLIED that he finally got all he needs from Vista's research, so ""Amaryllis-Catherine: Round 2"" is almost confirmed to happen at some point. BUT! They could use Erwin and Cath's mutual attachment, that promise, that damn ring, to actually save her this time. The classic trope, dead character is reborn as some fiendish monster that wants to kill the heroes, only to be suddenly reminded of their own human nature and attachments by some memorabilia from the past or by a loved one.",lore
"Other such illusions have led me to believe, they spawn at the actual location where the conversation in the past took place. I am more confident in saying that because of the illusions post-Broken Savior",lore
I remember someone said that the illusion appearing too often in GGC was because the brainwashing works similarly or has something to do with desire,lore
"Yeah, she doesn't say it outright. But I felt like it was implied, because she snapped at Chii pretty hard when being made to consider the possibility of reviving him",lore
"And the reason why I interpret it like that is because I very specifically remember Lily's reaction to her new circumstances at the beginning of the story, as she is told the world's gone to crap. She says something like ""I guess I can't be a pampered girl anymore""",lore
"Desire lily actively seeks death, while soul lily passively does",lore
every time she takes a mission it's because she's hoping it will be her last,lore
"he just cancels the ability, tell everyone to leave, and then when he is about to say what kent is up to he dies, implying kent did something",lore
"Also, what exactly happens at the end of BS Hero? Tenebris charges his finishing blow, sees Miriam and… redirects all of his attack's energy back into himself, damaging his body from the inside? At least that's how I understand that ending.",lore
"Most of them. Haru and, iirc, Stella have some of their memories (like Haru's mom death) blocked/removed by Rosca, and in S1 finale she asks Erwin to watch after those two.",lore
"Wait, so then, Rosca fought each of them one on one rather than 1v6-ing them?",lore
"And as for DErwin with the hoverboard in Dhana's story — I think that without Rosca's intervention, he simply had more time to develop his skills. Unlike the folding rifle ""weapon upgrade"" that regular Erwin uses post-advancement (""Combat Master - Western Finisher"" and ""Mission Call""), his hoverboard is a ""summon-type"" skill, so DErwin could possibly learn it with enough time. His powers operate on the premise of ""Wouldn't it be fun/cool if—"", so I think that's at least somewhat plausible.",lore
"CR shadow bosses are purely for the gameplay sake. Story-wise, only Haru, Lily and MAYBE Stella (IDK about this one) had their weapons before their ""DesireWorker phase"".",lore
I think Lord's desire is directly linked to the camp instead of what he wrote,lore
"I just thought of something else though: these records appeared because Kent manifested them, right? Or can we assume the Void itself did so on its own?",lore
"true, probably after man eater, I remember the start of the advancement quest is tenebris saying they need to take a break, then the sw left the vacuum, they wouldn't go out in middle of an investigation so its when they were waiting the soldiers recover from the garden incident",lore
"after man eater garden, SFL prepares to retreat from the vacuum since it became too dangerous (soldiers and other SFL members going insane and running towards man eater garden) but still need to wait for their staff to recover, the sw go to explore a bit more meanwhile (dreadful echo happens), after that the advancement quest takes place",lore
"And I am kind of assuming that all of these quests are supposed to take place in quick succession, one after another, otherwise the implication is that the protag leaves GCC, goes to DH, then back to GCC during this time interval. Which I don't see happening, because Grace City is in peril and the protag can't really afford to go anywhere that isn't strictly necessary I'd say",lore
To answer: Yes it is. It's basically an alt timeline where Tenebris has won.,lore
"yea, they have the same motivation as their DW, stella become aware of what motivation it is in dreadful eccho, erwin I think it is mentioned by Kane in grace. they works towards something else on advancement quest",lore
That's what she's healing from. Her life became "meaningless" after what happened to her before being sucked into the Void. But now... there is a reason for her to value her life and something to die for.,lore
"The key points are  "I will do everything to survive" and "I will risk my life with purpose. And my death will have meaning." That's what separates Lily from the beginning and the original Lily who became a Desireworker from the new, Soulworker Lily.",lore
"well, not like humans vs humans is strictly a recent thing in SW: it's been in fact a thing since day 1 with the NED company",lore
"Actually, now that you mention it, most of the threats we face in this game are of man. The NED company, the Void fanatics, the East, Tenebris himself is arguably another one just due to his sheer power",lore
"not even a one time thing, she does it at her own will too. At very start of arcadia, some random dude finds out about her and heitz and plans to tell ayame in hopes of getting something in exchange... dhana then pierce one blade on him and interrogates before killing him, later heitz finds his body somewhere and dhana sighs, saying she should've hidden the body better... She's literally an assassin at that point",lore
"oh, at some point she also regretted not killing someone, i dont remember who, for being uncooperative with their plans, heitz then said to stop trying to kill anyone she thinks its not useful",lore
"So then, I guess the SW's reluctantly cooperate with Lugman and Belletto so that Dhana doesn't become wanted for murder or something?",lore
"BS Hero - actual alternative realities, not just parallel timelines. Which means that it may be possible to bring someone from such world. They could have made Tenebris use that machine that transported Eph back in time, and MAYBE get into the main timeline to fight his alternate self (kinda Steins;Gate-esque style, but with how messed up the story is now, it's possible to tweak it a tiniest bit for that to work and devs/pubs could even make it into some sort of a ""community effort"" event).",lore
"It's not just a ""timeline separation"", that a whole ""time loop"" on top of it, that must be completed for her to simply exist. If she doesn't send herself back in time, she becomes a paradox. And the world is already unstable enough with anomalies like GC/PM/GL spawning here and there.",lore
seeking ysabella's approval is how they were conditioned,lore
"Side note, beyond the moment when Kane Barrel took in Desire energy from D6 and passed out in that one red quest, before we even leave Grace City, we know nothing about him, right? He is still as of now just hospitalized and unconscious",lore
"based on how she acted throughout her entire story, i would say that the convo was more telling her that lily would become docile compared to what she is now, since she kept saying things along the lines of [you wouldn't want that from me] instead of [i don't want to go back], kind of like a disclosure",lore
That whole conversation with Chii came across to me more like "I don't want my brother to come back because this new life has given me a chance to reinvent myself and that would ruin it",lore
"And the reason why I interpret it like that is because I very specifically remember Lily's reaction to her new circumstances at the beginning of the story, as she is told the world's gone to crap. She says something like ""I guess I can't be a pampered girl anymore""",lore
"But again, after S2 E2 Stella's ""ghosts"" became more significant.",lore
"what changed from lore video to game, is that they instead act alone and do whatever they want to do instead of in group and do what kent wants them to do",lore
"Actually, there's this whole argument between Erwin and Tenebris in the Void that, if he doesn't change his ways, he will never become a SoulWorker. Implying he's just a supernatural currently. So how is he using his usual guns then? I thought supernaturals were, like, just firing energy beams and stuff like that, only SW's and DW's fight using actual manifested weapons",lore
"I think it is worth pointing out the following: Catherine was also stated to have only been in the Void for a few days, 3 days IIRC. And I assume a bulk of that time was spent hanging out with Stella. Then, at the end of her CR, Kent breaks the robot toy and takes Catherine away from her, to make Stella suffer and trigger her DW transformation",lore
It seems that you can't simply "leave" the Void unless you have enough strength to do so (being ability user/"SoulForcer") or Kent wants you to GTFO. That's why Rocco-GCC Void was special - you can enter and leave at any time.,lore
"Void constantly sucking in new stuff. And time inside the Void is FUCKED. After all, no one aged a single bit while being inside.",lore
"It seems to me that this original ""soul erosion/encroachment"" was repurposed and later fleshed out into what became Desire Energy. It shares too much similarity with what is currently known about Desire Energy: you tap into your egotistic will, or, to put it simply, desire for too long - you can't control your emotions, and instead they begin to control you.",lore
"also, the shadow walker is kent's creation, with the purpose of getting the dw out",lore
"Aside of just being a funny bit, this also indicates that SoulJunks are either beings animated by or consisting of Desire Energy.",lore
"I don't think it does. I think it's just DE that twists its users, and it's for a similar reason as why Vessi can't use Soul Energy. Except instead of their body degrading, it's the mind that degrades",lore
"Now, if Soul Energy and Desire Energy have a fine line dividing them, and the only observable difference is the motivation, then I'm not sure why that is. But I did just have a theory: overusing either Soul or Desire energy, or using it continuously for too long, might have negative effects",lore
"We know that Soul Energy and Desire Energy is kinda the same thing but with reversed polarity, and I assume that at some point SE and DE may be difficult to tell apart. Also, their original ""root"", their ""will"", whatever you call it, is far from altruistic - which is a defining characteristic of a soulworker. Haru's vengeance, Erwin's pleasure, Iris's rage, you get it - those are NOT the traits of a soulworker.",lore
"Now, knowing that DWs can fight on the ""good"" side (Dhana's story) and it's just their own choice to do or not to, I think that at the beginning of their path in separated timelines, they were simply weakened desireworkers, and scanners just couldn't pick up that difference, because playable characters were constantly walking on a thin line between helping people and succumbing to their original desires.",lore
"What about Chii? She's a (half?)-souljunk, and souljunks are mindless beings with a single desire to consume and devour - but, with enough exposure to Desire Energy, as it is found out in Dipluce Horizon chapter and later, they are capable of gaining intelligence. And Chii originates... from The Great Void, a place filled to the brim with this energy.",lore
"Ephnel? Pfft, she's stuffed with Desire Energy from Flemma's horn and Poison herself. I don't thinks there's anything to talk about in this instance.",lore
"Nabi? Can we really call her a soulworker, when she actually lacks some characteristics of true SWs (limited energy reserves, has to eat and rest)? Lore-wise, she's the weakest of the team. She only becomes one in her personal story in the goddamn ARCADIA.",lore
"So, none of them were soulworkers at the beginning of their journey, and only after going through their advancement they become true soulworkers (except Nabi... she's not a butterfly - SHE'S A CATERPILLAR XD).",lore
"its not like he had many options left, yohaka took away his desire energy and kent refused to return It, explaining the real plan. His fate was either death or prison, and maybe used against the East. Or If sent to East prison, a experiment for Vista",lore
"yes, when she was still alive, she put the comatose dhana's mind inside the simulated world and I think a copy of herself along with It, cuz there was 2 reives in dhana's world, one of them died the same way as the one in real world since she was still doing stuff in real world after dhana world started, she wasn't using the dream device on herself, dhana was the only consciouness inside her world, everyone else was a virtual creation, maybe except desire dhan",lore
"Yet, in the retconned variant of Nabi's story, it appears that writers considered the possibility of ""brooch malfunction"", which led to SWs switching to their old persona in ""og"" Daydreamer. So, it's safe to assume that (in their understanding) Void brooch may actually be a necessity.",lore
"when the brooch containing void energy was used on them, It had no effect other than erasing their desire, so its probably was no effect in the regard of ""getting stronger by using It"" or something",lore
"anyone who leaves the vacuum loses their memory, once Its activity stopped during ruin fortress arc, It allowed ppl to enter and leave without affecting their memories",lore
"appearance-wise they're different, roy has a shorter hair and darker skin than kent, hairstyle is slightly different instead of just cut short, wear different clothes, hair color is the same but Its not an uncommon color. Roy talks ""enigmatic"", highly of himself, and later on, do ""villain talk"" on purpose. Kent in GCC was ""sarcastic"" and always willing to help, he wasn't seen as a villain by anyone other than erwin, who knew the truth.",lore
"From what is known and can be assumed, Vessi consist SOLELY of Desire Energy. That's why they disappear entirely on death (Flemma dying in West War story and Poison sacrificing herself and becoming Ephnel's Desire Energy source) and can be ""revived"" (Vista reviving Flemma) or mutated to extremes (Layla becoming ""Ferdelance"" because of Vista's serum).",lore
Tenebris in GCC is the only reason we know it's just a bunch of energy that washed over our human settlements,lore
"rosca said there was 8 total, she knows all timelines because she will exists in all of them, like every soil, tree and person, she however didn't knew about who created Chii's timeline, but she knew humans created eph's timeline even when she alrdy lost her powers, simply due to her also existing in that timeline",lore
"He's been born in the vacuum (which belongs to neither Kent or Rosca's jurisdiction), doesn't seems to have a direct reason/cause for birth, seems to know DChii for some reason...",lore
"Like I said before, timelines can only exist with the approval of the management gods. The only two management gods ever mentioned is Rosca (Second Stair), and Kent (Stair Uroboroi).",lore
"Chii's timeline existed ""without Rosca and Kent's awareness"". Upon noticing its existence, Rosca decided to make use of it and fuse it with Haru's.",lore
"THAT SAID, Rosca also said timelines can't exist without approval of the management god, yet she never explained anything about Chii's, just that it wasn't her who created it. IT WASN'T KENT EITHER, and these are the only two management gods ever mentioned. So there's some unexplained shit going on, and Nabi would just be another addiction to that if she's really an ""what if"" scenario.",lore
"The vacuum is what resulted from Kent trying to force his DEnergy into Second Stair -> when SE and DE collides, they erase each other, resulting in a blank space.",lore
Chii's sinforce is gluttony because she's a SoulJunk (whose desire is to eat and grow),lore
"Waltz is top with 5x peta, if not only the waltz clones are top so if ur enl allows for it then canceling early and make sure not to use dark breaker or shadow whirl  while the clones are still spinning",build
i used 0 enl in that run but with enl u can skip some ex1s and nimble pierce,build
I generally like to go 2.2 rotas b4 using ex2 so every skill twice(besides ex1) +rampage +just shadow blade (no dark breaker) into ex2,build
"if enl doesnt proc, more dmg from sin technic/set bonus is better, if it does proc, its slightly better sometimes but u have to know when to cancel/skip certain moves",build
3-4 ? Where do u put the 4 in ? First of all i need the troll brooch because of corrupted steel i have 2 and go from 100% to 40-30% after first hit and not dodge instantly out,build
"You just need your weapon's clone to do that, not counting your passive clone",build
RC -> 72 -> 42 -> Chase -> EX -> Heal -> Filler -> 2 (the pentagram jump) -> A2 -> A1 -> Filler -> Repeat,build
I recommend specifically the Desire ult rather than going into Desire from saving because you'll get it back before phase 2 starts anyway,build
for OC'ing u have 2 options 1 is using meltdown device on every upgrade or 2nd is going for OC with no meltdown device and when it gets melted u fix it with Vestar coin,build
"The whirl is only stronger when both clones hit, in any other case evrrything has higher dps",build
"Which is almost 1:1 with waltz dmg so make sure you dont miss. Also  remember to delay .5 seconds between clone and waltz (either with a skill b4 waltz or if u have to, wait .5 secs if u have, to it will be worth the wait I promise)",build
leap and breaker are the 2 worst dps in that rota,build
"Yes once u have sss Lugman, get a tera graze, and drop 5 mastery ab points",build
"you can do this. Switch typhoon to graze. You won't loose AS and the loosing 2% Boss DMG you'll get back with Lugman's +14% Boss DMG (with procc). It is 7% more Boss DMG than with Neb and Typhoon. You also loose 2050 Crit DMG from Nebs, but I guess 7% Boss DMG > 2050 Crit DMG. If you feel like having too much AB then adjust mastery as mentioned above.",build
"can use reckless if needed as sin atk or graze x 2 , just need 81 base ab or 76 if using mystic relfenne ( both with hidden vista +2 , if normal vista u need 1 more ab and if no vista 4 more ab ) , adjust ab with mastery also can use full giga brooches if that's all u can . but in that case u realy need reckless x 2 , worst case if u still have no way of reaching the ab cap , u can use 1-2 penes ( on hat and shoes )",build
"so the BIS for most charcters including dhana is lucy,tennbris,bennris, rosca and vista",build
"Strongest upgrade would probably be a fot recon with a random Tera fot def to gain the set bonus. But if you're planning to go for all Tera someday /eventually, Tera backstep probably smartest  cause it’s most expensive and u can sell off the giga backstep too to recoup some dz",build
"stats also depends on your gear/ak/ current stats.  for end game gear you want to hit 250% aspd and 100% AB rest goes into BD and CDMG, so in town should be 210 aspd (+10 perf + 10 skill buff + 20 dw) and you should be 81 with Vista+15 skill buff",build
"11, 444, [55, 22a2a1, 66], 5, 33 (end early), 444, repeat [] use devour and 444 when up, use dark breaker and brandish when no skills are available, don't have to be chained, just use 1 or the other until something comes back up",build
"With 250% aspd, infinite brandish becomes a better filler than fatal slash, darkbreaker, and silent leap maybe.  So you want to incorporate infinite brandish in your rota.",build
just min max to get 81% and you play using relf mystic and vista hidden,build
"For dhana, the more you put in AB mastery the better, because the next best thing is aspd but it can be easily capped with vp/cd gear + mtene.  So after that is cdmg mastery, and it doesn't trade well, 5 points in cdmg mastery is about 300 cdmg when 5 points AB translates to 1AB=1BD=550 cdmg",build
as for brooch the standard brooch set with 2 sin on bottom and hand with bsk shoes are already optimal while head and body use SD and FOT respectively as there is no other option that is better,build
arua is stronger then m.Relf.,build
"If I were you, I'd keep beneris. Instead, if necessary, run with penetration or mastery change or replace a Different akasha for arua.",build
Chainsaw meltdown state buffs damage aoutout substantialy to skill already casted on field,build
Red weapon buffing Nail dmg and yellow buff the dmg from the stack explosion but way too slightly to have a real impact,build
You need to get 250 attack speed.,build
6 only 1 time then yeah 1/2/3/4/5       1/2/3/4/5,build
"Yes, I understand what you mean. If you do a2, the duration changes from 6 seconds to 3 seconds",build
1st new skill can be usefull but need to see the dmg (OK IT'S LOOK LIKE IT GIVE MARK SO COULD BE REALLY INTERESTING) / aerial we need to see the dmg and even with that i'm not sure / EX is ugly but depend on dmg too since it's don't look like a multi hit shit BUT IT'S LOOK WORST THEN NAIL IF WE NEED TO GO THAT FAR TO HIT / passif absolute dogshit,build
so if anything try OC5 after new weap,build
"If a2 comes out, it will change to a structure that uses chainsaw skills as a fixed",build
need to hit 208% of the attack speed in town,build
not enlighten -> jump,build
"Yes, I understand what you mean. If you do a2, the duration changes from 6 seconds to 3 seconds",build
"From what I've seen from other Nabi mains they seems to be using right ext but for my gameplay I kinda prefer left,build",build
For nabi i would go lucy > tenebris > rosca > vista with beneris,build
driver/nail/aerial/42/chainsaw until driver line back then repeat,build
"There are 2 buff that will refresh every 5 sec, Red buff reverse ur control, Blue buff is back to normal, Another blue buff can cancel red buff",build
4 Reverse full time 15% dmg,build
"Voidsteal > if you wanna get annoying , play close to boss and use SD troll",build
Voidsteal give a pool on the floor that make damage to you and the boss,build
Desire > if you want to constantly having to heal yourself and be really aware of boss mech that do a shiton of dmg,build
Desire suck 8% of your hp/sec but give you 10% raw damage during desire awakening,build
Silence > if you play without moving much or pay close attention if you have the reverse debuff (at last you don't ki.ll your.self ),build
Silent reverse your movement input but give you 15% raw dmg,build
Reverse >>> desire > voidsteal,build
Gamble enli + white knight + skip ex and you should be good,build
4 silence is less annoying if you have black spirit,build
For ephnel red weapon it should be field octagon,build
lets just say RED are better than yellow,build
You can use gold if you don't care too much about rank or having max possible dmg. Gold is good for casual bcs you get bullet stack on hit and instant revive with full desire,build
"The gear tier changes because corrupted still does the same dmg but you have more skill dmg, from buffed/new skills, passive, and a2 thus making corrupted weaker than b4 a2. Desire gets stronger because of 35% dmg to 20% dmg in desire, making the effectiveness of the 10% more.",build
"On paper desire beats corrupted for a2 chars, corrupted is still a good set if you have it already, ex armor is also a close competitor if u play with a lot of enl like that YouTube video",build
But for sure aov/reverse is best for rankings,build
"SSS Lugman is better than SSS Neb, but Neb is also used to reach 100% armor break when you are missing 1%",build
"Neb, unless you want to get SSS Lugman sooner",build
"for FOT defense brooches, try to avoid the ones that reduce accuracy or attack speed",build
enlighten will reduce the cooldown of your skills which makes it so that you can spam skills faster,build
"like I said, as long as it has armor break for attack brooches, then its good to use for now",build
"Another stat is attack speed, with 183 you can max that stat at 250 with all ephnel buffs + perfume",build
"Later on, with the new gear, you dont need that much armor break, and can actually use something else in attack brooches, but yea",build
Try to get as much armor break brooches as possible,build
Corrupted Voidsteel and Eternal Desire,build
2 reverse + 2 desire is 11% dmg increase with a downside of wack controls,build
but 4 desire pieces gives 10% dmg increase,build
"No reason to mix AoV gear. For rank go full AoV, for raids use 4 desire. Bc in raid AoV gear can mess up your dodging/doing mechs in BSH",build
"Altar of Void gear is used in rank, once you get used to it it's barely noticeable",build
red weapon better gold,build
tbh Gold is more pratical if you just doing casual stuff as 3/3/3 way less reload management + revive with CD reset on all skill and Desire but if you going to rank or wan't to have "huge dps" (we know Ephnel need a buff to really have "HUGE" dps) Darkness is better,build
"Golden has around 14% effective damage, Darkness has +130% field octagon damage which result to around 17% effective damage. Darkness has better potential due to higher damage while golden can maintain limit break easier skipping filler skill like Air Burst. Overall they both good and the differences is pretty minor.",build
M Rosca/M Lucy/M Tenebis/H Lucy/H Catherine,build
the order is wood > 42 > nado > massacre,build
just replace the reload of your weapon by a RMB and you're good to go,build
"chii also have stamina+ passive, but ig its useless now",build
"for now everyone have ~33% boss dmg res (until replace to fami A 85) better use nautilus since dmg res source very rare, from brooch, char passive and AR (u dont want to replace AR for sure xd)",build
If running Voidsteel then consider Troll,build
No matter what the case is you still want your main to get the set first then you can do Eternity for everyone,build
most people run troll with corrupted cuz it's easy to outheal it so it's just a normal strat by now ig,build
If you run enough Troll you're basically healing off of the set,build
"Since for Corrupted if you run Troll (SD def) or/and Attrition (I'm not sure if this is how it's called in EN, FOT def) you can negate/heal from the set damage, effectively give you a set with no downsides, and the damage boost from it is better than Unyielding/Wraithmind",build
If you can Handle Random Movement Changes get Void of Silence,build
If you can handle Rapid HP loss get Eternal Desire,build
Gold for 99.7% of the case,build
Vista will always be better for TF because the pop damage from vista is always gonna be good,build
But for the most part just stick with gold if going for both isn't an option,build
Valor/x/enlighten x5 on Chii,build
Gold weapon for general and red for ranking,build
Red is slightly better assuming you get at least 2+ enlighten procs (tera) per rotation,build
Gold weapon and spam the crap out of charge,build
If you want flat eva go with blur but if you want more eva go with illusion,build
Even with red weapon I doubt there's much need of enlightens in ranking unless you want to do only 1 charge every rotation,build
RoscaM Vista TenebrisM BenerisM LucyM,build
if you hit Ex2 too early or after you move a little bit too much then it's fast Ex2 but slow tick,build
i think u should focus mystic rosca first,build
"Btw, this isnt the strongest spirit so you dont want to rush full lvl for it. Just focus to get 400 soul retention quick then doing 76hr/76hr maniac to get the new spirit fast",build
"since total atk from BSK set can made big gap with valor, but the down side is -1 enl",build
But both so close in dmg terms unlike other characters weapons where one is superior than the other,build
But if you want you can just go for prefer 4 SD 1 mix assuming RG give 2% AB + AS,build